Generation,Mean fitness,Best fitness
1114,26.01,24.4
1115,26.01,24.4
1116,26.01,24.4
1117,26.01,24.4
1118,25.986,24.4
1119,25.986,24.4
1120,25.968,24.4
1121,25.952,24.4
1122,25.952,24.4
1123,25.952,24.4
1124,25.952,24.4
1125,25.94,24.4
1126,25.94,24.4
1127,25.94,24.4
1128,25.94,24.4
1129,25.93,24.4
1130,25.93,24.4
1131,25.93,24.4
1132,25.926,24.4
1133,25.926,24.4
1134,25.926,24.4
1135,25.92,24.4
1136,25.92,24.4
1137,25.92,24.4
1138,25.92,24.4
1139,25.912,24.4
1140,25.912,24.4
1141,25.912,24.4
1142,25.912,24.4
1143,25.912,24.4
1144,25.912,24.4
1145,25.912,24.4
1146,25.912,24.4
1147,25.906,24.4
1148,25.898,24.4
1149,25.898,24.4
1150,25.898,24.4
1151,25.896,24.4
1152,25.896,24.4
1153,25.896,24.4
1154,25.896,24.4
1155,25.896,24.4
1156,25.896,24.4
1157,25.896,24.4
1158,25.892,24.4
1159,25.892,24.4
1160,25.876,24.4
1161,25.868,24.4
1162,25.868,24.4
1163,25.868,24.4
1164,25.866,24.4
1165,25.862,24.4
1166,25.862,24.4
1167,25.856,24.4
1168,25.856,24.4
1169,25.856,24.4
1170,25.856,24.4
1171,25.856,24.4
1172,25.856,24.4
1173,25.856,24.4
1174,25.856,24.4
1175,25.852,24.4
1176,25.852,24.4
1177,25.852,24.4
1178,25.852,24.4
1179,25.852,24.4
1180,25.848,24.4
1181,25.848,24.4
1182,25.838,24.4
1183,25.834,24.4
1184,25.834,24.4
1185,25.834,24.4
1186,25.834,24.4
1187,25.834,24.4
1188,25.828,24.4
1189,25.828,24.4
1190,25.828,24.4
1191,25.828,24.4
1192,25.828,24.4
1193,25.828,24.4
1194,25.828,24.4
1195,25.828,24.4
1196,25.828,24.4
1197,25.828,24.4
1198,25.828,24.4
1199,25.828,24.4
1200,25.828,24.4
1201,25.828,24.4
1202,25.828,24.4
1203,25.828,24.4
1204,25.828,24.4
1205,25.828,24.4
1206,25.828,24.4
1207,25.826,24.4
1208,25.826,24.4
1209,25.826,24.4
1210,25.812,24.4
1211,25.802,24.4
1212,25.79,24.4
1213,25.79,24.4
1214,25.79,24.4
1215,25.79,24.4
1216,25.79,24.4
1217,25.79,24.4
1218,25.79,24.4
1219,25.79,24.4
1220,25.79,24.4
1221,25.79,24.4
1222,25.79,24.4
1223,25.79,24.4
1224,25.79,24.4
1225,25.79,24.4
1226,25.79,24.4
1227,25.79,24.4
1228,25.79,24.4
1229,25.79,24.4
1230,25.79,24.4
1231,25.79,24.4
1232,25.79,24.4
1233,25.79,24.4
1234,25.79,24.4
1235,25.766,24.4
1236,25.766,24.4
1237,25.766,24.4
1238,25.766,24.4
1239,25.766,24.4
1240,25.766,24.4
1241,25.766,24.4
1242,25.766,24.4
1243,25.766,24.4
1244,25.766,24.4
1245,25.766,24.4
1246,25.746,24.4
1247,25.746,24.4
1248,25.738,24.4
1249,25.738,24.4
1250,25.738,24.4
1251,25.738,24.4
1252,25.738,24.4
1253,25.738,24.4
1254,25.738,24.4
1255,25.738,24.4
1256,25.738,24.4
1257,25.738,24.4
1258,25.738,24.4
1259,25.738,24.4
1260,25.726,24.4
1261,25.726,24.4
1262,25.726,24.4
1263,25.726,24.4
1264,25.726,24.4
1265,25.726,24.4
1266,25.726,24.4
1267,25.726,24.4
1268,25.726,24.4
1269,25.726,24.4
1270,25.726,24.4
1271,25.726,24.4
1272,25.726,24.4
1273,25.726,24.4
1274,25.726,24.4
1275,25.726,24.4
1276,25.726,24.4
1277,25.726,24.4
1278,25.726,24.4
1279,25.726,24.4
1280,25.726,24.4
1281,25.726,24.4
1282,25.726,24.4
1283,25.724,24.4
1284,25.724,24.4
1285,25.724,24.4
1286,25.72,24.4
1287,25.72,24.4
1288,25.72,24.4
1289,25.72,24.4
1290,25.72,24.4
1291,25.72,24.4
1292,25.72,24.4
1293,25.712,24.4
1294,25.708,24.4
1295,25.708,24.4
1296,25.708,24.4
1297,25.708,24.4
1298,25.708,24.4
1299,25.708,24.4
1300,25.708,24.4
1301,25.694,24.4
1302,25.694,24.4
1303,25.694,24.4
1304,25.694,24.4
1305,25.69,24.4
1306,25.686,24.4
1307,25.686,24.4
1308,25.686,24.4
1309,25.686,24.4
1310,25.686,24.4
1311,25.686,24.4
1312,25.686,24.4
1313,25.686,24.4
1314,25.686,24.4
1315,25.686,24.4
1316,25.686,24.4
