config1,config2,config4
0.30133,0.256,0.349333333
0.22667,0.304,0.274666667
0.20533,0.256,0.314666667
0.19467,0.242666667,0.354666667
0.24800,0.224,0.336
0.17160,0.25443787,0.230769231
0.15976,0.100591716,0.224852071
0.18935,0.195266272,0.224852071
0.12426,0.24260355,0.295857988
0.20710,0.207100592,0.236686391
0.15976,0.147928994,0.272189349
0.26627,0.207100592,0.218934911
0.18935,0.272189349,0.106508876
0.20710,0.106508876,0.307692308
0.26627,0.218934911,0.266272189
0.18149,0.213523132,0.192170819
0.19573,0.185053381,0.277580071
0.18505,0.181494662,0.263345196
0.16726,0.277580071,0.192170819
0.19573,0.195729537,0.192170819
0.17794,0.274021352,0.263345196
0.19929,0.195729537,0.295373665
0.16726,0.195729537,0.234875445
0.17438,0.274021352,0.177935943
0.18505,0.284697509,0.224199288
0.33887,0.372093023,0.435215947
0.34219,0.375415282,0.382059801
0.36213,0.428571429,0.368770764
0.36213,0.362126246,0.411960133
0.36545,0.348837209,0.42192691
0.33223,0.328903654,0.358803987
0.37209,0.338870432,0.425249169
0.37209,0.362126246,0.355481728
0.37209,0.375415282,0.428571429
0.37209,0.318936877,0.362126246
0.38971,0.455882353,0.488970588
0.39706,0.459558824,0.433823529
0.40074,0.466911765,0.481617647
0.42647,0.5,0.485294118
0.38971,0.459558824,0.5
0.40074,0.419117647,0.433823529
0.40809,0.419117647,0.444852941
0.41912,0.430147059,0.419117647
0.40809,0.393382353,0.459558824
0.37868,0.463235294,0.496323529
0.22742,0.244147157,0.25083612
0.22742,0.234113712,0.25083612
0.23077,0.25083612,0.244147157
0.23411,0.254180602,0.264214047
0.24080,0.244147157,0.25083612
0.25084,0.244147157,0.294314381
0.24080,0.227424749,0.244147157
0.23746,0.240802676,0.327759197
0.23411,0.25083612,0.254180602
0.22408,0.247491639,0.331103679
0.15833,0.206666667,0.311666667
0.15333,0.261666667,0.288333333
0.18167,0.21,0.283333333
0.16500,0.276666667,0.313333333
0.16000,0.211666667,0.248333333
0.19167,0.213333333,0.278333333
0.17333,0.308333333,0.303333333
0.16833,0.238333333,0.23
0.15333,0.24,0.186666667
0.16833,0.228333333,0.36
0.21566,0.273351648,0.395604396
0.19918,0.31043956,0.282967033
0.23626,0.355769231,0.383241758
0.17995,0.315934066,0.350274725
0.18269,0.340659341,0.379120879
0.20467,0.226648352,0.299450549
0.17720,0.336538462,0.346153846
0.22253,0.29532967,0.417582418
0.35989,0.399725275,0.292582418
0.23901,0.309065934,0.309065934
0.26984,0.288888889,0.365079365
0.22222,0.406349206,0.314285714
0.25714,0.253968254,0.412698413
0.24127,0.33968254,0.380952381
0.25397,0.301587302,0.384126984
0.22222,0.336507937,0.46984127
0.24444,0.298412698,0.371428571
0.22857,0.4,0.39047619
0.31429,0.292063492,0.352380952
0.22857,0.380952381,0.304761905
0.27821,0.233463035,0.36770428
